,title,texte,texte_keyword,keyword_without_ent,keyword_without_stop_word,keywords_lematisations
0,Notations.,"dans l's, à une heure d'affluence. un type dans les vingt-six ans, chapeau mou avec cordon remplaçant
le ruban, cou trop long comme si on lui avait tiré dessus. les gens descendent. le type en question s'irrite
contre un voisin. il lui reproche de le bousculer chaque fois qu'il passe quelqu'un. ton pleurnichard qui se
veut méchant. comme il voit une place libre, se précipite dessus. ",vingt-six ans chapeau mou$ruban cou$place libre,vingt-six$ans$chapeau$mou$ruban$cou$place$libre,vingt-six$ans$chapeau$mou$ruban$cou$place$libre,vingt-six$an$chapeau$mou$ruban$cou$place$libre
1,En partie double. ,"vers le milieu de la journée et à midi, je me trouvai et montai sur la plate-forme et la terrasse arrière d'un
autobus et d'un véhicule des transports en commun bondé et quasiment complet de la ligne s et qui va de
la contrescarpe à
champerret. je vis et remarquai un jeune homme et un vieil adolescent assez ridicule et pas mal
grotesque : cou maigre et tuyau décharné, ficelle et cordelière autour du chapeau et couvre-chef. après
une bousculade et confusion, il dit et profère d'une voix et d'un ton larmoyants et pleurnichards que son
voisin et covoyageur fait exprès et s'efforce de le pousser et de l'importuner chaque fois qu'on descend et
sort. ceci déclaré et après avoir ouvert la bouche, il se précipite et se dirige vers une place et un siège
vides et libres.
deux heures après et cent vingt minutes plus tard, je le rencontre et le revois cour de rome et devant la
gare saint-lazare. il est et se trouve avec un ami et copain qui lui conseille de et l'incite à faire ajouter et
coudre un bouton et un rond de corozo à son pardessus et manteau. ",terrasse arrière$jeune homme$vieil adolescent$grotesque cou maigre$siège vides,terrasse$arrière$jeune$homme$vieil$adolescent$grotesque$cou$maigre$siège$vides,terrasse$arrière$jeune$homme$vieil$adolescent$grotesque$cou$maigre$siège$vides,terrasse$arrière$jeune$homme$vieux$adolescent$grotesque$cou$maigre$siège$vide
2,Litotes. ,"nous étions quelques-uns à nous déplacer de conserve. un jeune homme, qui n'avait pas l'air très
intelligent, parla quelques instants avec un monsieur qui se trouvait à côté de lui, puis il alla s'asseoir.
deux heures plus tard, je le rencontrai de nouveau ; il était en compagnie d'un camarade et parlait
chiffons.",jeune homme$deux heures,jeune$homme$deux$heures,jeune$homme$heures,jeune$homme$heure
3,Métaphoriquement.,"au centre du jour, jeté dans le tas des sardines voyageuses d'un coléoptère à grosse carapace blanche,
un poulet au grand cou déplumé harangua soudain l'une, paisible, d'entre elles et son langage se déploya
dans les airs, humide d'une protestation. puis attiré par un vide, l'oisillon s'y précipita.
dans un morne désert urbain, je le revis le jour même se faisant moucher l'arrogance pour un quelconque
bouton. ",sardines voyageuses$grosse carapace blanche$grand cou$airs humide$morne désert urbain,sardines$voyageuses$grosse$carapace$blanche$grand$cou$airs$humide$morne$désert$urbain,sardines$voyageuses$grosse$carapace$blanche$grand$cou$airs$humide$morne$désert$urbain,sardine$voyageur$gros$carapace$blanc$grand$cou$air$humide$morne$désert$urbain
4,Rétrograde. ,"tu devrais ajouter un bouton à ton pardessus, lui dit son ami. je le rencontrai au milieu de la cour de
rome, après l'avoir quitté se précipitant avec avidité vers une place assise. il venait de protester contre la
poussée d'un autre voyageur, qui, disait-il, le bousculait chaque fois qu'il descendait quelqu'un.
ce jeune homme décharné était porteur d'un chapeau ridicule. cela se passa sur la plate-forme d'un s
complet ce midi-là. ",autre voyageur$jeune homme$chapeau ridicule,autre$voyageur$jeune$homme$chapeau$ridicule,voyageur$jeune$homme$chapeau$ridicule,autre$voyageur$jeune$homme$chapeau$ridicule
5,Surprises.,"ce que nous étions serrés sur cette plate-forme d'autobus ! et ce que ce garçon pouvait avoir l'air bête et
ridicule ! et que fait-il ? ne le voilà-t-il pas qui se met à vouloir se quereller avec un bonhomme qui -
prétendait-il ! ce damoiseau ! - le bousculait ! et ensuite il ne trouve rien de mieux à faire que d'aller vite
occuper une place laissée libre ! au lieu de la laisser à une dame ! ",air bête,air$bête,air$bête,air$bête
6,"Rêve. 
","il me semblait que tout fût brumeux et nacré autour de moi, avec des présences multiples et indistinctes,
parmi lesquelles cependant se dessinait assez nettement la seule figure d'un homme jeune dont le cou
trop long semblait annoncer déjà par lui-même le caractère à la fois lâche et rouspéteur du personnage.
le ruban de son chapeau était remplacé par une ficelle tressée. il se disputait ensuite avec un individu
que je ne voyais pas, puis, comme pris de peur, il se jetait dans l'ombre d'un couloir.
une autre partie du rêve me le montre marchant en plein soleil devant la gare saint-lazare. il est avec un
compagnon qui lui dit : «tu devrais faire ajouter un bouton à ton pardessus.»
là-dessus, je m'éveillai. ",présences multiples$homme jeune$fois lâche$autre partie$plein soleil,présences$multiples$homme$jeune$fois$lâche$autre$partie$plein$soleil,présences$multiples$homme$jeune$fois$lâche$partie$plein$soleil,présence$multiple$homme$jeune$fois$lâche$autre$partie$plein$soleil
7,Pronostication. ,"lorsque viendra midi, tu te trouveras sur la plate-forme arrière d'un autobus où s'entasseront des
voyageurs parmi lesquels tu remarqueras un ridicule jouvenceau : cou squelettique et point de ruban au
feutre mou. il ne se trouvera pas bien, ce petit. il pensera qu'un monsieur le pousse exprès, chaque fois
qu'il passe des gens qui montent ou descendent. il le lui dira, mais l'autre ne répondra pas, méprisant. et
le ridicule jouvenceau, pris de panique, lui filera sous le nez, vers une place libre.
tu le reverras un peu plus tard, cour de rome, devant la gare saint-lazare. un ami l'accompagnera, et tu
entendras ces paroles : «ton pardessus ne croise pas bien ; il faut que tu y fasses ajouter un bouton.»",plate-forme arrière$ridicule jouvenceau cou squelettique$feutre mou$ridicule jouvenceau$place libre,plate-forme$arrière$ridicule$jouvenceau$cou$squelettique$feutre$mou$ridicule$jouvenceau$place$libre,plate-forme$arrière$ridicule$jouvenceau$cou$squelettique$feutre$mou$ridicule$jouvenceau$place$libre,arrière$ridicule$jouvenceau$cou$squelettique$feutre$mou$ridicule$jouvenceau$place$libre
8,Synchyses. ,"ridicule jeune homme, que je me trouvai un jour sur un autobus de la ligne s bondé par traction peut-être
cou allongé, au chapeau la cordelière, je remarquai un. arrogant et larmoyant d'un ton, qui se trouve à
côté de lui, contre ce monsieur, proteste-t-il. car il le pousserait, fois chaque que des gens il descend.
libre il s'assoit et se précipite vers une place, ceci dit. rome (cour de) je le rencontre plus tard deux
heures à son pardessus un bouton d'ajouter un ami lui conseille. ",ridicule jeune homme$rome cour$deux heures,ridicule$jeune$homme$rome$cour$deux$heures,ridicule$jeune$homme$rome$cour$heures,jeune$homme$deux$heure
9,L'arc-en-ciel,"un jour, je me trouvai sur la plate-forme d'un autobus violet. il y avait là un jeune homme assez ridicule :
cou indigo, cordelière au chapeau. tout d'un coup, il proteste contre un monsieur bleu. il lui reproche
notamment, d'une voix verte, de le bousculer chaque fois qu'il descend des gens. ceci dit, il se précipite,
vers une place jaune, pour s'y asseoir.
deux heures plus tard, je le rencontre devant une gare orangée. il est avec un ami qui lui conseille de
faire ajouter un bouton à son pardessus rouge.",autobus violet$jeune homme$ridicule cou indigo cordelière$monsieur bleu$voix verte,autobus$violet$jeune$homme$ridicule$cou$indigo$cordelière$monsieur$bleu$voix$verte,autobus$violet$jeune$homme$ridicule$cou$indigo$cordelière$monsieur$bleu$voix$verte,autobus$violet$jeune$homme$ridicule$cou$indigo$cordelière$Monsieur$bleu$voix$vert
