,Unnamed: 0,title,texte,texte_keyword,keyword_without_ent,keyword_without_stop_word,keywords_lematisations
0,0,Notations.,"Dans l'S, à une heure d'affluence. Un type dans les vingt-six ans, chapeau mou avec cordon remplaçant
le ruban, cou trop long comme si on lui avait tiré dessus. Les gens descendent. Le type en question s'irrite
contre un voisin. Il lui reproche de le bousculer chaque fois qu'il passe quelqu'un. Ton pleurnichard qui se
veut méchant. Comme il voit une place libre, se précipite dessus. ",vingt-six ans chapeau mou$ruban cou$place libre,vingt-six$ans$chapeau$mou$ruban$cou$place$libre,vingt-six$ans$chapeau$mou$ruban$cou$place$libre,vingt-six$an$chapeau$mou$ruban$cou$place$libre
1,1,En partie double. ,"Vers le milieu de la journée et à midi, je me trouvai et montai sur la plate-forme et la terrasse arrière d'un
autobus et d'un véhicule des transports en commun bondé et quasiment complet de la ligne S et qui va de
la Contrescarpe à
Champerret. Je vis et remarquai un jeune homme et un vieil adolescent assez ridicule et pas mal
grotesque : cou maigre et tuyau décharné, ficelle et cordelière autour du chapeau et couvre-chef. Après
une bousculade et confusion, il dit et profère d'une voix et d'un ton larmoyants et pleurnichards que son
voisin et covoyageur fait exprès et s'efforce de le pousser et de l'importuner chaque fois qu'on descend et
sort. Ceci déclaré et après avoir ouvert la bouche, il se précipite et se dirige vers une place et un siège
vides et libres.
Deux heures après et cent vingt minutes plus tard, je le rencontre et le revois cour de Rome et devant la
gare Saint-Lazare. Il est et se trouve avec un ami et copain qui lui conseille de et l'incite à faire ajouter et
coudre un bouton et un rond de corozo à son pardessus et manteau. ",terrasse arrière$jeune homme$vieil adolescent$grotesque cou maigre$siège vides,terrasse$arrière$jeune$homme$vieil$adolescent$grotesque$cou$maigre$siège$vides,terrasse$arrière$jeune$homme$vieil$adolescent$grotesque$cou$maigre$siège$vides,terrasse$arrière$jeune$homme$vieux$adolescent$grotesque$cou$maigre$siège$vide
2,2,Litotes. ,"Nous étions quelques-uns à nous déplacer de conserve. Un jeune homme, qui n'avait pas l'air très
intelligent, parla quelques instants avec un monsieur qui se trouvait à côté de lui, puis il alla s'asseoir.
Deux heures plus tard, je le rencontrai de nouveau ; il était en compagnie d'un camarade et parlait
chiffons.",jeune homme$deux heures,jeune$homme$deux$heures,jeune$homme$heures,jeune$homme$heure
3,3,Métaphoriquement.,"Au centre du jour, jeté dans le tas des sardines voyageuses d'un coléoptère à grosse carapace blanche,
un poulet au grand cou déplumé harangua soudain l'une, paisible, d'entre elles et son langage se déploya
dans les airs, humide d'une protestation. Puis attiré par un vide, l'oisillon s'y précipita.
Dans un morne désert urbain, je le revis le jour même se faisant moucher l'arrogance pour un quelconque
bouton. ",sardines voyageuses$grosse carapace blanche$grand cou$airs humide$morne désert urbain,sardines$voyageuses$grosse$carapace$blanche$grand$cou$airs$humide$morne$désert$urbain,sardines$voyageuses$grosse$carapace$blanche$grand$cou$airs$humide$morne$désert$urbain,sardine$voyageur$gros$carapace$blanc$grand$cou$air$humide$morne$désert$urbain
4,4,Rétrograde. ,"Tu devrais ajouter un bouton à ton pardessus, lui dit son ami. Je le rencontrai au milieu de la cour de
Rome, après l'avoir quitté se précipitant avec avidité vers une place assise. Il venait de protester contre la
poussée d'un autre voyageur, qui, disait-il, le bousculait chaque fois qu'il descendait quelqu'un.
Ce jeune homme décharné était porteur d'un chapeau ridicule. Cela se passa sur la plate-forme d'un S
complet ce midi-là. ",autre voyageur$jeune homme$chapeau ridicule,autre$voyageur$jeune$homme$chapeau$ridicule,voyageur$jeune$homme$chapeau$ridicule,autre$voyageur$jeune$homme$chapeau$ridicule
5,5,Surprises.,"Ce que nous étions serrés sur cette plate-forme d'autobus ! Et ce que ce garçon pouvait avoir l'air bête et
ridicule ! Et que fait-il ? Ne le voilà-t-il pas qui se met à vouloir se quereller avec un bonhomme qui -
prétendait-il ! ce damoiseau ! - le bousculait ! Et ensuite il ne trouve rien de mieux à faire que d'aller vite
occuper une place laissée libre ! Au lieu de la laisser à une dame ! ",air bête,air$bête,air$bête,air$bête
6,6,"Rêve. 
","Il me semblait que tout fût brumeux et nacré autour de moi, avec des présences multiples et indistinctes,
parmi lesquelles cependant se dessinait assez nettement la seule figure d'un homme jeune dont le cou
trop long semblait annoncer déjà par lui-même le caractère à la fois lâche et rouspéteur du personnage.
Le ruban de son chapeau était remplacé par une ficelle tressée. Il se disputait ensuite avec un individu
que je ne voyais pas, puis, comme pris de peur, il se jetait dans l'ombre d'un couloir.
Une autre partie du rêve me le montre marchant en plein soleil devant la gare Saint-Lazare. Il est avec un
compagnon qui lui dit : «tu devrais faire ajouter un bouton à ton pardessus.»
Là-dessus, je m'éveillai. ",présences multiples$homme jeune$fois lâche$autre partie$plein soleil,présences$multiples$homme$jeune$fois$lâche$autre$partie$plein$soleil,présences$multiples$homme$jeune$fois$lâche$partie$plein$soleil,présence$multiple$homme$jeune$fois$lâche$autre$partie$plein$soleil
7,7,Pronostication. ,"Lorsque viendra midi, tu te trouveras sur la plate-forme arrière d'un autobus où s'entasseront des
voyageurs parmi lesquels tu remarqueras un ridicule jouvenceau : cou squelettique et point de ruban au
feutre mou. Il ne se trouvera pas bien, ce petit. Il pensera qu'un monsieur le pousse exprès, chaque fois
qu'il passe des gens qui montent ou descendent. Il le lui dira, mais l'autre ne répondra pas, méprisant. Et
le ridicule jouvenceau, pris de panique, lui filera sous le nez, vers une place libre.
Tu le reverras un peu plus tard, cour de Rome, devant la gare Saint-Lazare. Un ami l'accompagnera, et tu
entendras ces paroles : «ton pardessus ne croise pas bien ; il faut que tu y fasses ajouter un bouton.»",plate-forme arrière$ridicule jouvenceau cou squelettique$feutre mou$ridicule jouvenceau$place libre,plate-forme$arrière$ridicule$jouvenceau$cou$squelettique$feutre$mou$ridicule$jouvenceau$place$libre,plate-forme$arrière$ridicule$jouvenceau$cou$squelettique$feutre$mou$ridicule$jouvenceau$place$libre,arrière$ridicule$jouvenceau$cou$squelettique$feutre$mou$ridicule$jouvenceau$place$libre
8,8,Synchyses. ,"Ridicule jeune homme, que je me trouvai un jour sur un autobus de la ligne S bondé par traction peut-être
cou allongé, au chapeau la cordelière, je remarquai un. Arrogant et larmoyant d'un ton, qui se trouve à
côté de lui, contre ce monsieur, proteste-t-il. Car il le pousserait, fois chaque que des gens il descend.
Libre il s'assoit et se précipite vers une place, ceci dit. Rome (Cour de) je le rencontre plus tard deux
heures à son pardessus un bouton d'ajouter un ami lui conseille. ",ridicule jeune homme$rome cour$deux heures,ridicule$jeune$homme$rome$cour$deux$heures,ridicule$jeune$homme$rome$cour$heures,jeune$homme$deux$heure
9,9,L'arc-en-ciel,"Un jour, je me trouvai sur la plate-forme d'un autobus violet. Il y avait là un jeune homme assez ridicule :
cou indigo, cordelière au chapeau. Tout d'un coup, il proteste contre un monsieur bleu. Il lui reproche
notamment, d'une voix verte, de le bousculer chaque fois qu'il descend des gens. Ceci dit, il se précipite,
vers une place jaune, pour s'y asseoir.
Deux heures plus tard, je le rencontre devant une gare orangée. Il est avec un ami qui lui conseille de
faire ajouter un bouton à son pardessus rouge.",autobus violet$jeune homme$ridicule cou indigo cordelière$monsieur bleu$voix verte,autobus$violet$jeune$homme$ridicule$cou$indigo$cordelière$monsieur$bleu$voix$verte,autobus$violet$jeune$homme$ridicule$cou$indigo$cordelière$monsieur$bleu$voix$verte,autobus$violet$jeune$homme$ridicule$cou$indigo$cordelière$Monsieur$bleu$voix$vert
