title ,texte,texte_sans_entites,texte.1,texte_lemmatisé,texte_keyword,texte_sans_entites_keyword,texte.1_keyword,texte_lemmatisé_keyword
Notations.,"Dans l'S, à une heure d'affluence. Un type dans les vingt-six ans, chapeau mou avec cordon remplaçant
le ruban, cou trop long comme si on lui avait tiré dessus. Les gens descendent. Le type en question s'irrite
contre un voisin. Il lui reproche de le bousculer chaque fois qu'il passe quelqu'un. Ton pleurnichard qui se
veut méchant. Comme il voit une place libre, se précipite dessus. ","Dans l', à une heure d'affluence. Un type dans les vingt-six ans, chapeau mou avec cordon remplaçant
le ruban, cou trop long comme si on lui avait tiré dessus. Les gens descendent. Le type en question s'irrite
contre un voisin. Il lui reproche de le bousculer chaque fois qu'il passe quelqu'un. Ton pleurnichard qui se
veut méchant. Comme il voit une place libre, se précipite dessus. ","S , heure affluence . type ans , chapeau mou cordon remplaçant 
 ruban , cou trop long tiré . descendent . type question irrite 
 voisin . reproche bousculer fois passe . pleurnichard 
 veut méchant . voit place libre , précipite .","s , heure affluence . type an , chapeau mou cordon remplacer 
 ruban , cou trop long tirer . descendre . type question irrite 
 voisin . reproche bousculer fois passer . pleurnichard 
 vouloir méchant . voir place libre , précipite .",type ans cordon chapeau question ruban voisin affluence cou heure,type ans chapeau cordon question ruban affluence voisin cou heure,type ans type question mou cordon heure affluence chapeau fois ruban cou reproche place,type an type question mou cordon heure affluence chapeau fois ruban cou pleurnichard place
En partie double. ,"Vers le milieu de la journée et à midi, je me trouvai et montai sur la plate-forme et la terrasse arrière d'un
autobus et d'un véhicule des transports en commun bondé et quasiment complet de la ligne S et qui va de
la Contrescarpe à
Champerret. Je vis et remarquai un jeune homme et un vieil adolescent assez ridicule et pas mal
grotesque : cou maigre et tuyau décharné, ficelle et cordelière autour du chapeau et couvre-chef. Après
une bousculade et confusion, il dit et profère d'une voix et d'un ton larmoyants et pleurnichards que son
voisin et covoyageur fait exprès et s'efforce de le pousser et de l'importuner chaque fois qu'on descend et
sort. Ceci déclaré et après avoir ouvert la bouche, il se précipite et se dirige vers une place et un siège
vides et libres.
Deux heures après et cent vingt minutes plus tard, je le rencontre et le revois cour de Rome et devant la
gare Saint-Lazare. Il est et se trouve avec un ami et copain qui lui conseille de et l'incite à faire ajouter et
coudre un bouton et un rond de corozo à son pardessus et manteau. ","Vers le milieu de la journée et à midi, je me trouvai et montai sur la plate-forme et la terrasse arrière d'un
autobus et d'un véhicule des transports en commun bondé et quasiment complet de la ligne S et qui va de
la Contrescarpe à
Champerret. Je vis et remarquai un jeune homme et un vieil adolescent assez ridicule et pas mal
grotesque : cou maigre et tuyau décharné, ficelle et cordelière autour du chapeau et couvre-chef. Après
une bousculade et confusion, il dit et profère d'une voix et d'un ton larmoyants et pleurnichards que son
voisin et covoyageur fait exprès et s'efforce de le pousser et de l'importuner chaque fois qu'on descend et
sort. Ceci déclaré et après avoir ouvert la bouche, il se précipite et se dirige vers une place et un siège
vides et libres.
Deux heures après et cent vingt minutes plus tard, je le rencontre et le revois cour de  et devant la
gare Saint-Lazare. Il est et se trouve avec un ami et copain qui lui conseille de et l'incite à faire ajouter et
coudre un bouton et un rond de corozo à son pardessus et manteau. ","milieu journée midi , trouvai montai plate - forme terrasse arrière 
 autobus véhicule transports commun bondé quasiment complet ligne S 
 Contrescarpe 
 Champerret . vis remarquai jeune homme vieil adolescent ridicule mal 
 grotesque : cou maigre tuyau décharné , ficelle cordelière autour chapeau couvre-chef . 
 bousculade confusion , profère voix larmoyants pleurnichards 
 voisin covoyageur exprès efforce pousser importuner fois descend 
 sort . déclaré bouche , précipite dirige place siège 
 vides libres . 
 heures minutes tard , rencontre revois cour Rome 
 gare Saint-Lazare . trouve ami copain conseille incite ajouter 
 coudre bouton rond corozo pardessus manteau .","milieu journée midi , trouver monter plate - forme terrasse arrière 
 autobus véhicule transport commun bonder quasiment complet ligne s 
 Contrescarpe 
 Champerret . voir remarquer jeune homme vieux adolescent ridicule mal 
 grotesque : cou maigre tuyau décharner , ficelle cordelière autour chapeau couvre-chef . 
 bousculade confusion , proférer voix larmoyant pleurnichard 
 voisin covoyageur exprès efforcer pousser importuner fois descendre 
 sort . déclarer bouche , précipite diriger place siège 
 vide libre . 
 heure minute tard , rencontre revoir cour Rome 
 gare Saint-Lazare . trouve ami copain conseille incite ajouter 
 coudre bouton rond corozo pardessus manteau .",sort ligne s transports place minutes terrasse arrière revois cour véhicule siège autobus,sort ligne s transports place minutes terrasse arrière siège véhicule revois cour autobus,complet ligne s heures minutes place siège terrasse arrière cour rome gare saint-lazare jeune homme vieil adolescent forme maigre tuyau,complet ligne s heure minute véhicule transport place siège terrasse arrière cour rome gare saint-lazare jeune homme vieux adolescent maigre tuyau
Litotes. ,"Nous étions quelques-uns à nous déplacer de conserve. Un jeune homme, qui n'avait pas l'air très
intelligent, parla quelques instants avec un monsieur qui se trouvait à côté de lui, puis il alla s'asseoir.
Deux heures plus tard, je le rencontrai de nouveau ; il était en compagnie d'un camarade et parlait
chiffons.","Nous étions quelques-uns à nous déplacer de conserve. Un jeune homme, qui n'avait pas l'air très
intelligent, parla quelques instants avec un monsieur qui se trouvait à côté de lui, puis il alla s'asseoir.
Deux heures plus tard, je le rencontrai de nouveau ; il était en compagnie d'un camarade et parlait
.","étions déplacer conserve . jeune homme , air 
 intelligent , parla instants monsieur trouvait côté , alla asseoir . 
 heures tard , rencontrai ; compagnie camarade parlait 
 chiffons .","être déplacer conserve . jeune homme , air 
 intelligent , parler instant Monsieur trouver côté , aller asseoir . 
 heure tard , rencontrer ; compagnie camarade parler 
 chiffon .",jeune homme air instants compagnie camarade monsieur chiffons côté heures,jeune homme air instants monsieur compagnie camarade côté heures,instants monsieur jeune homme compagnie camarade heures air côté,instant monsieur jeune homme compagnie camarade heure air côté chiffon
Métaphoriquement.,"Au centre du jour, jeté dans le tas des sardines voyageuses d'un coléoptère à grosse carapace blanche,
un poulet au grand cou déplumé harangua soudain l'une, paisible, d'entre elles et son langage se déploya
dans les airs, humide d'une protestation. Puis attiré par un vide, l'oisillon s'y précipita.
Dans un morne désert urbain, je le revis le jour même se faisant moucher l'arrogance pour un quelconque
bouton. ","Au centre du jour, jeté dans le tas des sardines voyageuses d'un coléoptère à grosse carapace blanche,
un poulet au grand cou déplumé harangua soudain l'une, paisible, d'entre elles et son langage se déploya
dans les airs, humide d'une protestation. Puis attiré par un vide, l'oisillon s'y précipita.
Dans un morne désert urbain, je le revis le jour même se faisant moucher l'arrogance pour un quelconque
bouton. ","centre jour , jeté tas sardines voyageuses coléoptère grosse carapace blanche , 
 poulet grand cou déplumé harangua soudain , paisible , langage déploya 
 airs , humide protestation . attiré vide , oisillon précipita . 
 morne désert urbain , revis jour moucher arrogance 
 bouton .","centre jour , jeter tas sardine voyageur coléoptère gros carapace blanc , 
 poulet grand cou déplumé haranguer soudain , paisible , langage déployer 
 air , humide protestation . attirer vide , oisillon précipiter . 
 morne désert urbain , revi jour moucher arrogance 
 bouton .",grosse carapace grand cou morne désert jour airs protestation sardines poulet tas langage,grosse carapace grand cou morne désert jour airs protestation sardines poulet tas langage,voyageuses coléoptère grosse carapace poulet grand cou humide protestation morne désert centre jour langage vide oisillon sardines arrogance,poulet grand cou gros carapace humide protestation morne désert centre jour air langage vide oisillon sardine
Rétrograde. ,"Tu devrais ajouter un bouton à ton pardessus, lui dit son ami. Je le rencontrai au milieu de la cour de
Rome, après l'avoir quitté se précipitant avec avidité vers une place assise. Il venait de protester contre la
poussée d'un autre voyageur, qui, disait-il, le bousculait chaque fois qu'il descendait quelqu'un.
Ce jeune homme décharné était porteur d'un chapeau ridicule. Cela se passa sur la plate-forme d'un S
complet ce midi-là. ","Tu devrais ajouter un bouton à ton pardessus, lui dit son ami. Je le rencontrai au milieu de la cour de
Rome, après l'avoir quitté se précipitant avec avidité vers une place assise. Il venait de protester contre la
poussée d'un autre voyageur, qui, disait-il, le bousculait chaque fois qu'il descendait quelqu'un.
Ce jeune homme décharné était porteur d'un chapeau ridicule. Cela se passa sur la plate-forme d'un 
complet ce midi-là. ","devrais ajouter bouton pardessus , ami . rencontrai milieu cour 
 Rome , quitté précipitant avidité place assise . venait protester 
 poussée voyageur , , disait , bousculait fois descendait . 
 jeune homme décharné porteur chapeau ridicule . passa plate - forme S 
 complet midi -là .","devoir ajouter bouton pardessus , ami . rencontrer milieu cour 
 Rome , quitter précipiter avidité place asseoir . venir protester 
 pousser voyageur , , dire , bousculer fois descendre . 
 jeune homme décharner porteur chapeau ridicule . passer plate - forme s 
 complet midi -là .",jeune homme chapeau porteur plate-forme place avidité s rome autre voyageur fois,jeune homme chapeau porteur plate-forme place avidité rome autre voyageur fois milieu,décharné porteur chapeau forme s complet midi jeune homme plate milieu cour fois rome avidité bouton,décharner porteur chapeau jeune homme complet midi plate forme milieu cour fois rome avidité bouton
Surprises.,"Ce que nous étions serrés sur cette plate-forme d'autobus ! Et ce que ce garçon pouvait avoir l'air bête et
ridicule ! Et que fait-il ? Ne le voilà-t-il pas qui se met à vouloir se quereller avec un bonhomme qui -
prétendait-il ! ce damoiseau ! - le bousculait ! Et ensuite il ne trouve rien de mieux à faire que d'aller vite
occuper une place laissée libre ! Au lieu de la laisser à une dame ! ","Ce que nous étions serrés sur cette plate-forme d'autobus ! Et ce que ce garçon pouvait avoir l'air bête et
ridicule ! Et que fait-il ? Ne le voilà-t-il pas qui se met à vouloir se quereller avec un bonhomme qui -
prétendait-il ! ce damoiseau ! - le bousculait ! Et ensuite il ne trouve rien de mieux à faire que d'aller vite
occuper une place laissée libre ! Au lieu de la laisser à une dame ! ","serrés plate - forme autobus ! garçon air bête 
 ridicule ! ? met vouloir quereller bonhomme - 
 prétendait ! damoiseau ! - bousculait ! ensuite trouve mieux faire aller vite 
 occuper place laissée libre ! lieu dame !","serrer plate - forme autobus ! garçon air bête 
 ridicule ! ? mettre vouloir quereller bonhomme - 
 prétendre ! damoiseau ! - bousculer ! ensuite trouve mieux faire aller vite 
 occuper place laisser libre ! lieu dame !",air bête garçon fait-il lieu bonhomme prétendait-il damoiseau voilà-t-il plate-forme autobus,air bête garçon fait-il lieu bonhomme prétendait-il damoiseau voilà-t-il plate-forme autobus,air bête forme autobus serrés plate lieu dame garçon bonhomme place damoiseau,air bête forme autobus lieu dame garçon plate bonhomme place damoiseau
"Rêve. 
","Il me semblait que tout fût brumeux et nacré autour de moi, avec des présences multiples et indistinctes,
parmi lesquelles cependant se dessinait assez nettement la seule figure d'un homme jeune dont le cou
trop long semblait annoncer déjà par lui-même le caractère à la fois lâche et rouspéteur du personnage.
Le ruban de son chapeau était remplacé par une ficelle tressée. Il se disputait ensuite avec un individu
que je ne voyais pas, puis, comme pris de peur, il se jetait dans l'ombre d'un couloir.
Une autre partie du rêve me le montre marchant en plein soleil devant la gare Saint-Lazare. Il est avec un
compagnon qui lui dit : «tu devrais faire ajouter un bouton à ton pardessus.»
Là-dessus, je m'éveillai. ","Il me semblait que tout fût brumeux et nacré autour de moi, avec des présences multiples et indistinctes,
parmi lesquelles cependant se dessinait assez nettement la seule figure d'un homme jeune dont le cou
trop long semblait annoncer déjà par lui-même le caractère à la fois lâche et rouspéteur du personnage.
Le ruban de son chapeau était remplacé par une ficelle tressée. Il se disputait ensuite avec un individu
que je ne voyais pas, puis, comme pris de peur, il se jetait dans l'ombre d'un couloir.
Une autre partie du rêve me le montre marchant en plein soleil devant la gare . Il est avec un
compagnon qui lui dit : «tu devrais faire ajouter un bouton à ton pardessus.»
Là-dessus, je m'éveillai. ","semblait brumeux nacré autour , présences multiples indistinctes , 
 dessinait nettement figure homme jeune cou 
 trop long semblait annoncer caractère fois lâche rouspéteur personnage . 
 ruban chapeau remplacé ficelle tressée . disputait ensuite individu 
 voyais , , pris peur , jetait ombre couloir . 
 partie rêve montre marchant plein soleil gare Saint-Lazare . 
 compagnon : « devrais ajouter bouton pardessus . » 
 - , éveillai .","sembler brumeux nacré autour , présence multiple indistinct , 
 dessiner nettement figure homme jeune cou 
 trop long sembler annoncer caractère fois lâche rouspéteur personnage . 
 ruban chapeau remplacer ficelle tresser . disputer ensuite individu 
 voir , , prendre peur , jeter ombre couloir . 
 partie rêve montre marcher plein soleil gare Saint-Lazare . 
 compagnon : « devoir ajouter bouton pardessus . » 
 - , éveiller .",seule figure autre partie homme cou présences plein soleil fois lâche ficelle individu ruban,seule figure autre partie homme cou présences plein soleil fois lâche ficelle individu ruban,plein soleil gare saint-lazare fois lâche partie rêve jeune cou rouspéteur personnage ruban chapeau ombre couloir homme ficelle individu,plein soleil gare saint-lazare fois lâche jeune cou partie rêve figure homme rouspéteur personnage ombre couloir ruban chapeau ficelle compagnon
Pronostication. ,"Lorsque viendra midi, tu te trouveras sur la plate-forme arrière d'un autobus où s'entasseront des
voyageurs parmi lesquels tu remarqueras un ridicule jouvenceau : cou squelettique et point de ruban au
feutre mou. Il ne se trouvera pas bien, ce petit. Il pensera qu'un monsieur le pousse exprès, chaque fois
qu'il passe des gens qui montent ou descendent. Il le lui dira, mais l'autre ne répondra pas, méprisant. Et
le ridicule jouvenceau, pris de panique, lui filera sous le nez, vers une place libre.
Tu le reverras un peu plus tard, cour de Rome, devant la gare Saint-Lazare. Un ami l'accompagnera, et tu
entendras ces paroles : «ton pardessus ne croise pas bien ; il faut que tu y fasses ajouter un bouton.»","Lorsque viendra midi, tu te trouveras sur la plate-forme arrière d'un autobus où s'entasseront des
voyageurs parmi lesquels tu remarqueras un ridicule jouvenceau : cou squelettique et point de ruban au
feutre mou. Il ne se trouvera pas bien, ce petit. Il pensera qu'un monsieur le pousse exprès, chaque fois
qu'il passe des gens qui montent ou descendent. Il le lui dira, mais l'autre ne répondra pas, méprisant. Et
le ridicule jouvenceau, pris de panique, lui filera sous le nez, vers une place libre.
Tu le reverras un peu plus tard, cour de Rome, devant la gare . Un ami l'accompagnera, et tu
entendras ces paroles : «ton pardessus ne croise pas bien ; il faut que tu y fasses ajouter un bouton.»","viendra midi , trouveras plate - forme arrière autobus entasseront 
 voyageurs remarqueras ridicule jouvenceau : cou squelettique point ruban 
 feutre mou . trouvera bien , petit . pensera monsieur pousse exprès , fois 
 passe montent descendent . dira , répondra , méprisant . 
 ridicule jouvenceau , pris panique , filera nez , place libre . 
 reverras tard , cour Rome , gare Saint-Lazare . ami accompagnera , 
 entendras paroles : « pardessus croise bien ; faut fasses ajouter bouton . »","venir midi , trouver plate - forme arrière autobus entasser 
 voyageur remarquer ridicule jouvenceau : cou squelettique point ruban 
 feutre mou . trouver bien , petit . penser Monsieur pousse exprès , fois 
 passer monter descendre . dire , répondre , méprisant . 
 ridicule jouvenceau , prendre panique , filer nez , place libre . 
 revoir tard , cour Rome , gare Saint-Lazare . ami accompagner , 
 entendre parole : « pardessus croise bien ; falloir faire ajouter bouton . »",ridicule jouvenceau point cou ruban plate-forme arrière voyageurs nez place feutre panique,ridicule jouvenceau point cou ruban plate-forme arrière voyageurs nez place feutre panique,ridicule jouvenceau squelettique point ruban forme arrière autobus cour rome cou gare saint-lazare feutre place plate midi,ridicule jouvenceau forme arrière autobus squelettique point ruban cour rome gare saint-lazare voyageur cou feutre place plate
Synchyses. ,"Ridicule jeune homme, que je me trouvai un jour sur un autobus de la ligne S bondé par traction peut-être
cou allongé, au chapeau la cordelière, je remarquai un. Arrogant et larmoyant d'un ton, qui se trouve à
côté de lui, contre ce monsieur, proteste-t-il. Car il le pousserait, fois chaque que des gens il descend.
Libre il s'assoit et se précipite vers une place, ceci dit. Rome (Cour de) je le rencontre plus tard deux
heures à son pardessus un bouton d'ajouter un ami lui conseille. ","Ridicule jeune homme, que je me trouvai un jour sur un autobus de la ligne S bondé par traction peut-être
cou allongé, au chapeau la cordelière, je remarquai un. Arrogant et larmoyant d'un ton, qui se trouve à
côté de lui, contre ce monsieur, proteste-t-il. Car il le pousserait, fois chaque que des gens il descend.
Libre il s'assoit et se précipite vers une place, ceci dit. Rome ( de) je le rencontre plus tard deux
heures à son pardessus un bouton d'ajouter un ami lui conseille. ","Ridicule jeune homme , trouvai jour autobus ligne S bondé traction peut-être 
 cou allongé , chapeau cordelière , remarquai . Arrogant larmoyant , trouve 
 côté , monsieur , proteste . pousserait , fois descend . 
 Libre assoit précipite place , . Rome ( Cour ) rencontre tard 
 heures pardessus bouton ajouter ami conseille .","ridicule jeune homme , trouver jour autobus ligne s bonder traction peut-être 
 cou allongé , chapeau cordelière , remarquer . arrogant larmoyant , trouve 
 côté , Monsieur , proteste . pousser , fois descendre . 
 libre asseoir précipite place , . Rome ( cour ) rencontre tard 
 heure pardessus bouton ajouter ami conseille .",ridicule jeune homme place jour ligne s libre rome cour traction gens autobus,ridicule jeune homme jour place ligne s libre de traction rome gens autobus,jour autobus ligne s ridicule jeune homme traction cour cou rome heures bouton chapeau place,jour autobus ligne s ridicule jeune homme traction cou cour rome place heure bouton chapeau
L'arc-en-ciel,"Un jour, je me trouvai sur la plate-forme d'un autobus violet. Il y avait là un jeune homme assez ridicule :
cou indigo, cordelière au chapeau. Tout d'un coup, il proteste contre un monsieur bleu. Il lui reproche
notamment, d'une voix verte, de le bousculer chaque fois qu'il descend des gens. Ceci dit, il se précipite,
vers une place jaune, pour s'y asseoir.
Deux heures plus tard, je le rencontre devant une gare orangée. Il est avec un ami qui lui conseille de
faire ajouter un bouton à son pardessus rouge.","Un jour, je me trouvai sur la plate-forme d'un autobus violet. Il y avait là un jeune homme assez ridicule :
cou indigo, cordelière au chapeau. Tout d'un coup, il proteste contre un monsieur bleu. Il lui reproche
notamment, d'une voix verte, de le bousculer chaque fois qu'il descend des gens. Ceci dit, il se précipite,
vers une place jaune, pour s'y asseoir.
Deux heures plus tard, je le rencontre devant une gare orangée. Il est avec un ami qui lui conseille de
faire ajouter un bouton à son pardessus rouge.","jour , trouvai plate - forme autobus violet . jeune homme ridicule : 
 cou indigo , cordelière chapeau . coup , proteste monsieur bleu . reproche 
 , voix verte , bousculer fois descend . , précipite , 
 place jaune , asseoir . 
 heures tard , rencontre gare orangée . ami conseille 
 ajouter bouton pardessus rouge .","jour , trouver plate - forme autobus violet . jeune homme ridicule : 
 cou indigo , cordelière chapeau . coup , proteste Monsieur bleu . reproche 
 , voix vert , bousculer fois descendre . , précipite , 
 place jaune , asseoir . 
 heure tard , rencontre gare orangé . ami conseille 
 ajouter bouton pardessus rouge .",jeune homme coup cordelière fois cou chapeau gare heures voix ami,jeune homme coup cordelière fois cou chapeau gare heures voix ami,jeune homme cordelière chapeau rencontre gare forme autobus coup cou monsieur heures ami plate,jeune homme cordelière chapeau rencontre gare forme autobus voix vert coup cou monsieur ami heure
